lat,lon,jobs
25.2,-99.2,1
26.1,-100.8,1
26.1,-99.0,1
26.1,-98.2,1
26.2,-99.3,1
26.2,-98.9,1
26.2,-98.7,11
26.2,-98.6,8
26.2,-98.5,5
26.2,-98.4,2
26.2,-98.2,14
26.2,-97.3,1
26.3,-98.9,1
26.3,-98.8,2
26.3,-98.7,11
26.3,-98.6,6
26.3,-98.5,2
26.3,-98.4,6
26.3,-98.3,2
26.3,-98.2,1
26.4,-99.0,4
26.4,-98.7,2
26.4,-98.5,29
26.4,-98.4,20
26.4,-98.3,1
26.4,-98.2,2
26.4,-98.1,1
26.5,-99.1,1
26.5,-98.7,3
26.5,-98.6,7
26.5,-98.5,67
26.5,-98.4,86
26.5,-98.3,21
26.5,-98.2,2
26.5,-98.0,1
26.5,-97.8,1
26.5,-97.6,2
26.6,-99.2,1
26.6,-99.1,3
26.6,-99.0,1
26.6,-98.5,21
26.6,-98.3,16
26.6,-98.2,12
26.6,-97.9,7
26.7,-99.1,5
26.7,-99.0,1
26.7,-98.5,10
26.7,-98.4,3
26.7,-98.3,38
26.7,-98.2,8
26.7,-97.9,4
26.8,-99.2,5
26.8,-98.9,6
26.8,-98.7,1
26.8,-98.4,2
26.8,-98.3,5
26.8,-97.8,1
26.9,-99.3,2
26.9,-99.2,2
26.9,-99.1,2
26.9,-99.0,2
26.9,-98.9,1
26.9,-98.2,9
26.9,-98.1,2
26.9,-98.0,1
26.9,-97.9,1
26.9,-97.8,1
27.0,-99.3,7
27.0,-99.2,1
27.0,-99.1,2
27.0,-99.0,2
27.0,-98.0,2
27.0,-97.9,36
27.0,-97.8,3
27.0,-97.0,1
27.0,-95.2,1
27.1,-99.4,2
27.1,-99.3,10
27.1,-99.2,11
27.1,-99.0,5
27.1,-98.8,1
27.1,-98.7,1
27.1,-98.6,3
27.1,-98.1,7
27.1,-98.0,1
27.1,-97.9,1
27.1,-97.8,3
27.2,-99.4,9
27.2,-99.2,1
27.2,-99.1,8
27.2,-99.0,1
27.2,-98.9,1
27.2,-98.7,1
27.2,-98.6,5
27.2,-98.5,1
27.2,-98.3,1
27.2,-98.1,6
27.2,-98.0,55
27.2,-97.7,2
27.2,-97.6,1
27.3,-99.4,11
27.3,-99.3,10
27.3,-99.2,4
27.3,-99.1,8
27.3,-99.0,5
27.3,-98.6,4
27.3,-98.5,2
27.3,-98.2,1
27.3,-98.1,1
27.3,-98.0,25
27.3,-97.6,5
27.3,-97.4,1
27.4,-99.4,6
27.4,-99.3,4
27.4,-99.2,19
27.4,-99.1,1
27.4,-99.0,5
27.4,-98.9,3
27.4,-98.7,1
27.4,-98.3,1
27.4,-98.2,1
27.4,-98.0,21
27.4,-97.9,12
27.4,-97.8,1
27.4,-97.7,9
27.4,-97.6,3
27.5,-99.5,4
27.5,-99.4,15
27.5,-99.3,20
27.5,-99.2,13
27.5,-99.1,2
27.5,-98.9,2
27.5,-98.3,1
27.5,-97.9,2
27.5,-97.6,2
27.6,-99.4,12
27.6,-99.3,22
27.6,-99.2,6
27.6,-99.1,3
27.6,-98.9,4
27.6,-98.7,1
27.6,-98.2,1
27.6,-97.9,5
27.6,-97.6,1
27.7,-99.8,2
27.7,-99.7,36
27.7,-99.6,22
27.7,-99.5,103
27.7,-99.4,32
27.7,-99.3,1
27.7,-99.2,5
27.7,-99.0,3
27.7,-98.7,1
27.7,-97.8,1
27.7,-97.7,2
27.7,-97.5,1
27.8,-99.9,1
27.8,-99.8,98
27.8,-99.7,28
27.8,-99.6,103
27.8,-99.5,51
27.8,-99.4,81
27.8,-99.3,2
27.8,-99.0,2
27.8,-98.7,2
27.8,-97.8,9
27.8,-97.7,1
27.8,-97.5,6
27.8,-97.4,6
27.9,-100.0,1
27.9,-99.9,9
27.9,-99.8,98
27.9,-99.7,68
27.9,-99.6,30
27.9,-99.5,85
27.9,-99.4,59
27.9,-99.3,50
27.9,-99.2,4
27.9,-98.7,4
27.9,-98.6,1
27.9,-98.5,1
27.9,-97.8,1
27.9,-97.7,2
27.9,-97.5,3
27.9,-97.4,20
27.9,-97.3,3
28.0,-100.0,18
